links,id,neo_reference_id,name,nasa_jpl_url,absolute_magnitude_h,estimated_diameter,is_potentially_hazardous_asteroid,close_approach_data,is_sentry_object
{'self': 'http://www.neowsapp.com/rest/v1/neo/3753695?api_key=l7LiWkmiE89Dr3pjU9pMUo1BOMa032oyfOx5dxfe'},3753695,3753695,(2016 LN1),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3753695,19.9,"{'kilometers': {'estimated_diameter_min': 0.2783267681, 'estimated_diameter_max': 0.6223575734}, 'meters': {'estimated_diameter_min': 278.3267680719, 'estimated_diameter_max': 622.3575733667}, 'miles': {'estimated_diameter_min': 0.1729441822, 'estimated_diameter_max': 0.3867149477}, 'feet': {'estimated_diameter_min': 913.1455937611, 'estimated_diameter_max': 2041.8556210042}}",True,"[{'close_approach_date': '2016-07-09', 'close_approach_date_full': '2016-Jul-09 01:48', 'epoch_date_close_approach': 1468028880000, 'relative_velocity': {'kilometers_per_second': '19.8015378703', 'kilometers_per_hour': '71285.5363330328', 'miles_per_hour': '44294.0600620448'}, 'miss_distance': {'astronomical': '0.3592536767', 'lunar': '139.7496802363', 'kilometers': '53743584.823988629', 'miles': '33394715.0761119202'}, 'orbiting_body': 'Earth'}]",False
{'self': 'http://www.neowsapp.com/rest/v1/neo/2189040?api_key=l7LiWkmiE89Dr3pjU9pMUo1BOMa032oyfOx5dxfe'},2189040,2189040,189040 (2000 MU1),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2189040,19.88,"{'kilometers': {'estimated_diameter_min': 0.2809020939, 'estimated_diameter_max': 0.6281161771}, 'meters': {'estimated_diameter_min': 280.902093949, 'estimated_diameter_max': 628.116177092}, 'miles': {'estimated_diameter_min': 0.174544415, 'estimated_diameter_max': 0.3902931771}, 'feet': {'estimated_diameter_min': 921.5948259116, 'estimated_diameter_max': 2060.7486784504}}",True,"[{'close_approach_date': '2016-07-10', 'close_approach_date_full': '2016-Jul-10 07:56', 'epoch_date_close_approach': 1468137360000, 'relative_velocity': {'kilometers_per_second': '22.7148947221', 'kilometers_per_hour': '81773.6209996241', 'miles_per_hour': '50810.9480039053'}, 'miss_distance': {'astronomical': '0.4432091794', 'lunar': '172.4083707866', 'kilometers': '66303149.202687878', 'miles': '41198866.4977255964'}, 'orbiting_body': 'Earth'}]",False
{'self': 'http://www.neowsapp.com/rest/v1/neo/3672669?api_key=l7LiWkmiE89Dr3pjU9pMUo1BOMa032oyfOx5dxfe'},3672669,3672669,(2014 KZ45),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3672669,20.3,"{'kilometers': {'estimated_diameter_min': 0.2315021222, 'estimated_diameter_max': 0.5176544822}, 'meters': {'estimated_diameter_min': 231.5021222103, 'estimated_diameter_max': 517.6544821978}, 'miles': {'estimated_diameter_min': 0.1438487052, 'estimated_diameter_max': 0.3216554833}, 'feet': {'estimated_diameter_min': 759.5214226325, 'estimated_diameter_max': 1698.3415313737}}",True,"[{'close_approach_date': '2016-07-10', 'close_approach_date_full': '2016-Jul-10 11:09', 'epoch_date_close_approach': 1468148940000, 'relative_velocity': {'kilometers_per_second': '16.2270785402', 'kilometers_per_hour': '58417.4827446217', 'miles_per_hour': '36298.3519865123'}, 'miss_distance': {'astronomical': '0.1886096138', 'lunar': '73.3691397682', 'kilometers': '28215596.486002606', 'miles': '17532358.6701277228'}, 'orbiting_body': 'Earth'}]",False
{'self': 'http://www.neowsapp.com/rest/v1/neo/2471323?api_key=l7LiWkmiE89Dr3pjU9pMUo1BOMa032oyfOx5dxfe'},2471323,2471323,471323 (2011 KW15),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2471323,19.39,"{'kilometers': {'estimated_diameter_min': 0.3520099801, 'estimated_diameter_max': 0.7871182442}, 'meters': {'estimated_diameter_min': 352.0099800547, 'estimated_diameter_max': 787.1182441607}, 'miles': {'estimated_diameter_min': 0.2187287933, 'estimated_diameter_max': 0.4890924505}, 'feet': {'estimated_diameter_min': 1154.8884229628, 'estimated_diameter_max': 2582.4090201723}}",True,"[{'close_approach_date': '2016-07-14', 'close_approach_date_full': '2016-Jul-14 14:27', 'epoch_date_close_approach': 1468506420000, 'relative_velocity': {'kilometers_per_second': '13.9487982802', 'kilometers_per_hour': '50215.6738085983', 'miles_per_hour': '31202.0668729038'}, 'miss_distance': {'astronomical': '0.2700128911', 'lunar': '105.0350146379', 'kilometers': '40393353.381101957', 'miles': '25099265.9225907266'}, 'orbiting_body': 'Earth'}]",False
{'self': 'http://www.neowsapp.com/rest/v1/neo/3367027?api_key=l7LiWkmiE89Dr3pjU9pMUo1BOMa032oyfOx5dxfe'},3367027,3367027,(2007 BJ29),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3367027,18.7,"{'kilometers': {'estimated_diameter_min': 0.4836764882, 'estimated_diameter_max': 1.0815335068}, 'meters': {'estimated_diameter_min': 483.6764882185, 'estimated_diameter_max': 1081.533506775}, 'miles': {'estimated_diameter_min': 0.3005425432, 'estimated_diameter_max': 0.6720335566}, 'feet': {'estimated_diameter_min': 1586.8651696069, 'estimated_diameter_max': 3548.3383903678}}",True,"[{'close_approach_date': '2016-07-14', 'close_approach_date_full': '2016-Jul-14 11:26', 'epoch_date_close_approach': 1468495560000, 'relative_velocity': {'kilometers_per_second': '18.1156093539', 'kilometers_per_hour': '65216.1936741102', 'miles_per_hour': '40522.8065637825'}, 'miss_distance': {'astronomical': '0.4852988356', 'lunar': '188.7812470484', 'kilometers': '72599672.119240172', 'miles': '45111344.4140594936'}, 'orbiting_body': 'Earth'}]",False
{'self': 'http://www.neowsapp.com/rest/v1/neo/3621700?api_key=l7LiWkmiE89Dr3pjU9pMUo1BOMa032oyfOx5dxfe'},3621700,3621700,(2012 YO3),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3621700,21.2,"{'kilometers': {'estimated_diameter_min': 0.1529519353, 'estimated_diameter_max': 0.3420109247}, 'meters': {'estimated_diameter_min': 152.9519353442, 'estimated_diameter_max': 342.0109247198}, 'miles': {'estimated_diameter_min': 0.095039897, 'estimated_diameter_max': 0.2125156703}, 'feet': {'estimated_diameter_min': 501.8108275547, 'estimated_diameter_max': 1122.0831222578}}",True,"[{'close_approach_date': '2016-07-15', 'close_approach_date_full': '2016-Jul-15 10:02', 'epoch_date_close_approach': 1468576920000, 'relative_velocity': {'kilometers_per_second': '28.85972575', 'kilometers_per_hour': '103895.0126998304', 'miles_per_hour': '64556.3205300696'}, 'miss_distance': {'astronomical': '0.4472427061', 'lunar': '173.9774126729', 'kilometers': '66906556.205596007', 'miles': '41573806.2231466166'}, 'orbiting_body': 'Earth'}]",False
{'self': 'http://www.neowsapp.com/rest/v1/neo/3757411?api_key=l7LiWkmiE89Dr3pjU9pMUo1BOMa032oyfOx5dxfe'},3757411,3757411,(2016 PZ39),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3757411,19.4,"{'kilometers': {'estimated_diameter_min': 0.3503926411, 'estimated_diameter_max': 0.7835017643}, 'meters': {'estimated_diameter_min': 350.3926411083, 'estimated_diameter_max': 783.5017643338}, 'miles': {'estimated_diameter_min': 0.2177238258, 'estimated_diameter_max': 0.4868452748}, 'feet': {'estimated_diameter_min': 1149.5821926537, 'estimated_diameter_max': 2570.543928497}}",True,"[{'close_approach_date': '2016-07-15', 'close_approach_date_full': '2016-Jul-15 11:27', 'epoch_date_close_approach': 1468582020000, 'relative_velocity': {'kilometers_per_second': '22.1341755483', 'kilometers_per_hour': '79683.0319738807', 'miles_per_hour': '49511.9372839927'}, 'miss_distance': {'astronomical': '0.1097292325', 'lunar': '42.6846714425', 'kilometers': '16415259.458734775', 'miles': '10199969.248798895'}, 'orbiting_body': 'Earth'}]",False
{'self': 'http://www.neowsapp.com/rest/v1/neo/54106307?api_key=l7LiWkmiE89Dr3pjU9pMUo1BOMa032oyfOx5dxfe'},54106307,54106307,(2021 BW),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=54106307,20.6,"{'kilometers': {'estimated_diameter_min': 0.2016299194, 'estimated_diameter_max': 0.4508582062}, 'meters': {'estimated_diameter_min': 201.6299194428, 'estimated_diameter_max': 450.8582061718}, 'miles': {'estimated_diameter_min': 0.1252869847, 'estimated_diameter_max': 0.2801502144}, 'feet': {'estimated_diameter_min': 661.5155049046, 'estimated_diameter_max': 1479.1936371367}}",True,"[{'close_approach_date': '2016-07-15', 'close_approach_date_full': '2016-Jul-15 05:06', 'epoch_date_close_approach': 1468559160000, 'relative_velocity': {'kilometers_per_second': '34.1059847181', 'kilometers_per_hour': '122781.5449851089', 'miles_per_hour': '76291.6772158861'}, 'miss_distance': {'astronomical': '0.4275471658', 'lunar': '166.3158474962', 'kilometers': '63960145.328216846', 'miles': '39742991.3999546348'}, 'orbiting_body': 'Earth'}]",False
{'self': 'http://www.neowsapp.com/rest/v1/neo/2487577?api_key=l7LiWkmiE89Dr3pjU9pMUo1BOMa032oyfOx5dxfe'},2487577,2487577,487577 (2014 YQ15),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2487577,21.2,"{'kilometers': {'estimated_diameter_min': 0.1529519353, 'estimated_diameter_max': 0.3420109247}, 'meters': {'estimated_diameter_min': 152.9519353442, 'estimated_diameter_max': 342.0109247198}, 'miles': {'estimated_diameter_min': 0.095039897, 'estimated_diameter_max': 0.2125156703}, 'feet': {'estimated_diameter_min': 501.8108275547, 'estimated_diameter_max': 1122.0831222578}}",True,"[{'close_approach_date': '2016-07-16', 'close_approach_date_full': '2016-Jul-16 03:21', 'epoch_date_close_approach': 1468639260000, 'relative_velocity': {'kilometers_per_second': '9.0483465309', 'kilometers_per_hour': '32574.0475112813', 'miles_per_hour': '20240.2463549959'}, 'miss_distance': {'astronomical': '0.2673182136', 'lunar': '103.9867850904', 'kilometers': '39990235.366765032', 'miles': '24848780.0036681616'}, 'orbiting_body': 'Earth'}]",False
{'self': 'http://www.neowsapp.com/rest/v1/neo/2523808?api_key=l7LiWkmiE89Dr3pjU9pMUo1BOMa032oyfOx5dxfe'},2523808,2523808,523808 (2007 ML24),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2523808,19.3,"{'kilometers': {'estimated_diameter_min': 0.3669061375, 'estimated_diameter_max': 0.8204270649}, 'meters': {'estimated_diameter_min': 366.9061375314, 'estimated_diameter_max': 820.4270648822}, 'miles': {'estimated_diameter_min': 0.2279848336, 'estimated_diameter_max': 0.5097895857}, 'feet': {'estimated_diameter_min': 1203.7603322587, 'estimated_diameter_max': 2691.6899315481}}",True,"[{'close_approach_date': '2016-07-16', 'close_approach_date_full': '2016-Jul-16 14:23', 'epoch_date_close_approach': 1468678980000, 'relative_velocity': {'kilometers_per_second': '26.6113930737', 'kilometers_per_hour': '95801.0150653906', 'miles_per_hour': '59527.0251666034'}, 'miss_distance': {'astronomical': '0.4680721122', 'lunar': '182.0800516458', 'kilometers': '70022590.991521014', 'miles': '43510020.4556734332'}, 'orbiting_body': 'Earth'}]",False
{'self': 'http://www.neowsapp.com/rest/v1/neo/3370167?api_key=l7LiWkmiE89Dr3pjU9pMUo1BOMa032oyfOx5dxfe'},3370167,3370167,(2007 EF),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3370167,21.4,"{'kilometers': {'estimated_diameter_min': 0.1394938229, 'estimated_diameter_max': 0.3119176705}, 'meters': {'estimated_diameter_min': 139.4938229344, 'estimated_diameter_max': 311.9176705226}, 'miles': {'estimated_diameter_min': 0.0866774163, 'estimated_diameter_max': 0.1938165949}, 'feet': {'estimated_diameter_min': 457.6569140361, 'estimated_diameter_max': 1023.3519701574}}",True,"[{'close_approach_date': '2016-07-16', 'close_approach_date_full': '2016-Jul-16 21:27', 'epoch_date_close_approach': 1468704420000, 'relative_velocity': {'kilometers_per_second': '15.643726245', 'kilometers_per_hour': '56317.4144819737', 'miles_per_hour': '34993.4512374242'}, 'miss_distance': {'astronomical': '0.3952116876', 'lunar': '153.7373464764', 'kilometers': '59122826.664065412', 'miles': '36737220.9614782056'}, 'orbiting_body': 'Earth'}]",False
{'self': 'http://www.neowsapp.com/rest/v1/neo/2613726?api_key=l7LiWkmiE89Dr3pjU9pMUo1BOMa032oyfOx5dxfe'},2613726,2613726,613726 (2007 EF),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2613726,21.34,"{'kilometers': {'estimated_diameter_min': 0.1434019235, 'estimated_diameter_max': 0.320656449}, 'meters': {'estimated_diameter_min': 143.4019234645, 'estimated_diameter_max': 320.6564489709}, 'miles': {'estimated_diameter_min': 0.0891057966, 'estimated_diameter_max': 0.1992466184}, 'feet': {'estimated_diameter_min': 470.4787665793, 'estimated_diameter_max': 1052.0225040417}}",True,"[{'close_approach_date': '2016-07-16', 'close_approach_date_full': '2016-Jul-16 21:27', 'epoch_date_close_approach': 1468704420000, 'relative_velocity': {'kilometers_per_second': '15.6437266502', 'kilometers_per_hour': '56317.4159406725', 'miles_per_hour': '34993.4521438029'}, 'miss_distance': {'astronomical': '0.3952116877', 'lunar': '153.7373465153', 'kilometers': '59122826.679025199', 'miles': '36737220.9707737862'}, 'orbiting_body': 'Earth'}]",False
{'self': 'http://www.neowsapp.com/rest/v1/neo/2439437?api_key=l7LiWkmiE89Dr3pjU9pMUo1BOMa032oyfOx5dxfe'},2439437,2439437,439437 (2013 NK4),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2439437,18.7,"{'kilometers': {'estimated_diameter_min': 0.4836764882, 'estimated_diameter_max': 1.0815335068}, 'meters': {'estimated_diameter_min': 483.6764882185, 'estimated_diameter_max': 1081.533506775}, 'miles': {'estimated_diameter_min': 0.3005425432, 'estimated_diameter_max': 0.6720335566}, 'feet': {'estimated_diameter_min': 1586.8651696069, 'estimated_diameter_max': 3548.3383903678}}",True,"[{'close_approach_date': '2016-07-17', 'close_approach_date_full': '2016-Jul-17 20:55', 'epoch_date_close_approach': 1468788900000, 'relative_velocity': {'kilometers_per_second': '12.1073923044', 'kilometers_per_hour': '43586.612295719', 'miles_per_hour': '27083.0258456372'}, 'miss_distance': {'astronomical': '0.4737282209', 'lunar': '184.2802779301', 'kilometers': '70868732.805529483', 'miles': '44035788.5987055454'}, 'orbiting_body': 'Earth'}]",False
{'self': 'http://www.neowsapp.com/rest/v1/neo/3421513?api_key=l7LiWkmiE89Dr3pjU9pMUo1BOMa032oyfOx5dxfe'},3421513,3421513,(2008 OX1),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3421513,21.5,"{'kilometers': {'estimated_diameter_min': 0.1332155667, 'estimated_diameter_max': 0.2978790628}, 'meters': {'estimated_diameter_min': 133.2155666981, 'estimated_diameter_max': 297.8790627982}, 'miles': {'estimated_diameter_min': 0.0827762899, 'estimated_diameter_max': 0.1850934111}, 'feet': {'estimated_diameter_min': 437.0589598459, 'estimated_diameter_max': 977.2935443908}}",True,"[{'close_approach_date': '2016-07-17', 'close_approach_date_full': '2016-Jul-17 04:40', 'epoch_date_close_approach': 1468730400000, 'relative_velocity': {'kilometers_per_second': '15.0468074122', 'kilometers_per_hour': '54168.5066839434', 'miles_per_hour': '33658.2035003647'}, 'miss_distance': {'astronomical': '0.3372697702', 'lunar': '131.1979406078', 'kilometers': '50454839.237309474', 'miles': '31351183.3283757812'}, 'orbiting_body': 'Earth'}]",False
{'self': 'http://www.neowsapp.com/rest/v1/neo/2138404?api_key=l7LiWkmiE89Dr3pjU9pMUo1BOMa032oyfOx5dxfe'},2138404,2138404,138404 (2000 HA24),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2138404,19.36,"{'kilometers': {'estimated_diameter_min': 0.3569069267, 'estimated_diameter_max': 0.7980681497}, 'meters': {'estimated_diameter_min': 356.9069266704, 'estimated_diameter_max': 798.0681496756}, 'miles': {'estimated_diameter_min': 0.2217716139, 'estimated_diameter_max': 0.4958964042}, 'feet': {'estimated_diameter_min': 1170.9545212975, 'estimated_diameter_max': 2618.3339081818}}",True,"[{'close_approach_date': '2016-07-18', 'close_approach_date_full': '2016-Jul-18 06:53', 'epoch_date_close_approach': 1468824780000, 'relative_velocity': {'kilometers_per_second': '8.715905866', 'kilometers_per_hour': '31377.2611174776', 'miles_per_hour': '19496.6098315793'}, 'miss_distance': {'astronomical': '0.4508720136', 'lunar': '175.3892132904', 'kilometers': '67449492.877171032', 'miles': '41911171.4270309616'}, 'orbiting_body': 'Earth'}]",False
